IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
138.2.152.56,443,443,true,FRA,Europe,Frankfurt,172,7.78
144.24.164.121,443,443,true,FRA,Europe,Frankfurt,194,7.74
193.123.60.23,443,443,true,FRA,Europe,Frankfurt,170,7.71
141.144.202.63,443,443,true,FRA,Europe,Frankfurt,171,7.70
164.152.26.70,2052,443,true,ORD,North America,Chicago,233,7.70
141.144.234.188,443,443,true,FRA,Europe,Frankfurt,161,7.69
141.148.231.137,443,443,true,FRA,Europe,Frankfurt,197,7.68
130.162.41.188,443,443,true,FRA,Europe,Frankfurt,160,7.68
129.146.60.210,443,443,true,LAX,North America,Los Angeles,228,7.66
143.47.188.2,443,443,true,FRA,Europe,Frankfurt,176,7.66
84.235.174.30,443,443,true,FRA,Europe,Frankfurt,192,7.66
130.61.32.86,2096,443,true,FRA,Europe,Frankfurt,166,7.66
132.145.232.93,443,443,true,FRA,Europe,Frankfurt,168,7.64
193.123.57.175,443,443,true,FRA,Europe,Frankfurt,173,7.63
158.180.14.254,443,443,true,FRA,Europe,Frankfurt,186,7.63
84.235.170.70,443,443,true,FRA,Europe,Frankfurt,177,7.63
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,164,7.63
141.148.246.187,443,443,true,FRA,Europe,Frankfurt,168,7.61
141.147.16.16,443,443,true,FRA,Europe,Frankfurt,172,7.61
132.226.214.95,443,443,true,FRA,Europe,Frankfurt,211,7.60
138.3.253.196,443,443,true,FRA,Europe,Frankfurt,162,7.57
89.168.88.42,443,443,true,FRA,Europe,Frankfurt,152,7.52
130.162.170.197,443,443,true,FRA,Europe,Frankfurt,196,7.50
144.24.174.77,443,443,true,FRA,Europe,Frankfurt,194,7.48
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,165,7.48
140.238.81.102,443,443,true,FRA,Europe,Frankfurt,176,7.47
79.72.76.94,443,443,true,FRA,Europe,Frankfurt,178,7.47
193.122.55.123,443,443,true,FRA,Europe,Frankfurt,165,7.46
